,layer,pos,prob
299,42,5,0.026074988767504692
300,42,6,0.003929824102669954
301,43,0,0.0260861087590456
302,43,1,0.02701362408697605
303,43,2,0.025883030146360397
304,43,3,0.026818322017788887
305,43,4,0.026143211871385574
306,43,5,0.02622922509908676
307,43,6,0.0014699083985760808
308,44,0,0.026090724393725395
309,44,1,0.026851553469896317
310,44,2,0.025822017341852188
311,44,3,0.026700658723711967
312,44,4,0.026049727573990822
313,44,5,0.026073573157191277
314,44,6,0.0011206886265426874
315,45,0,0.02610715664923191
316,45,1,0.02655644901096821
317,45,2,0.025716857984662056
318,45,3,0.0267525352537632
319,45,4,0.026164427399635315
320,45,5,0.02622014656662941
321,45,6,0.0011911946348845959
322,46,0,0.02612084522843361
323,46,1,0.02624308504164219
324,46,2,0.025803234428167343
325,46,3,0.026615256443619728
326,46,4,0.026244444772601128
327,46,5,0.026203451678156853
328,46,6,0.0013266567839309573
329,47,0,0.026119505986571312
330,47,1,0.025886595249176025
331,47,2,0.025911523029208183
332,47,3,0.026439107954502106
333,47,4,0.026283003389835358
334,47,5,0.026334451511502266
335,47,6,0.001231787959113717
